modelo,peca_hora
06,0.5
66,1.0
20,0.2
90,1.0
51636679,270.0
51636680,300.0
51636681,300.0
1626R265B2HC,120.0
1626R266B2HC,120.0
2316R924IMSPA,200.0
2517R8045G3BRN,200.0
2517R8045G3NE,200.0
2517R7545G3NE,200.0
2518R1235G1NE,190.0
2518R7545G3NE,190.0
2518R755G3GQ,190.0
2518R755G3NE,190.0
2518R755G3REC,190.0
2518R8045G3BRN,190.0
2518R8045G3GQ,190.0
2518R8045G3NE,190.0
2518R805G3NE,190.0
2520R12345G1BRN,180.0
2520R12345G1NE,180.0
2520R1235G1NE,180.0
2520R7545G3BRN,180.0
2520R7545G3NE,180.0
2520R755G3BRN,180.0
2520R755G3GQ,180.0
2520R755G3NE,180.0
2520R755G3REC,180.0
2520R8045G3BRN,180.0
2520R8045G3NE,180.0
2520R805G3BRN,180.0
2520R805G3NE,180.0
2520R806G3NE,170.0
2522R755G3BRN,170.0
2522R755G3NE,170.0
2522R755G3REC,170.0
2522R805G3BRN,170.0
2522R805G3NE,170.0
2522R805G3REC,170.0
2571-155,190.0
2571-158,200.0
2571-161,200.0
2571-162,200.0
2571-165,300.0
2571-168,180.0
2571-172,200.0
2571-178,270.0
2571-187,200.0
2571-198,270.0
2571-206,300.0
2571-278,270.0
2571-283,300.0
2571-284,300.0
2571-284,300.0
2571-285,300.0
2571-285,300.0
2816R805G3NE,200.0
2817R10245I9FQ,200.0
2817R10245I9NE,200.0
2817R10245I9SPN,200.0
2817R1024I9SPN,200.0
2817R8045G3NE,200.0
2818R12345G1NE,190.0
2818R12345G1STE,190.0
2818R7545G3REC,190.0
2818R755G3GQ,190.0
2818R755G3NLB,190.0
2818R755G3REC,190.0
2818R755G3STA,190.0
2818RG652YNE,180.0
2818R8045G3GQ,190.0
2818R8045G3NE,190.0
2818R8045G3STE,190.0
2818R805G3GQ,190.0
2818R805G3NE,190.0
2818R805G3REC,190.0
2820R12345G1NE,180.0
2820R1235G1NE,180.0
2820R755G3GQ,180.0
2820R755G3NLB,180.0
2820R755G3REC,180.0
2820R755G3STA,180.0
2820R8045G3GQ,180.0
2820R8045G3NE,180.0
2820R805G3NE,180.0
2820R805G3REC,180.0
2820R806G3NE,170.0
2820RDE6NE,170.0
2822R755G3NE,170.0
2822R755G3REC,170.0
2822R805G3GQ,170.0
2822R805G3NE,170.0
2822R805G3REC,170.0
3017R1024I9SPN,200.0
420MBB984BMNE,160.0
420CB94HC,160.0
420MCB94BMHC,160.0
424BCXG6HC,160.0
424CB96HC,160.0
424MBB986BMHC,160.0
424MBCHG6BMNE,160.0
424MBCXG6BMHC,160.0
424MCB96BMHC,160.0
424MCCX6BMHC,160.0
424MRCX6BMHC,160.0
426BCXG6HC,120.0
426CCX6HC,120.0
426MBCXG6BMHC,120.0
426MCCX6BMHC,120.0
6000-437,200.0
6000-438,200.0
622CB94HC,160.0
622MBB984BMHC,160.0
622MCB94BMHC,160.0
624CB95HC,160.0
624MBB985BMHC,160.0
624MCB95BMHC,160.0
626MBCHG6BMNE,120.0
626MRCX6BMNE,120.0
628MRCX6BMNE,120.0
8112R4033YNE,300.0
81135R7535GSNE,300.0
81135RC633R,300.0
81135RC64K7,300.0
8113R40265DTMX,300.0
81135RC63K7NE,300.0
8113R4035DDNE,300.0
8113R403DDFH,300.0
8113R403DTNE,300.0
8113R4533KNE,300.0
8113R6835FCGQ,300.0
81145R3635K3GN,300.0
81145R3635K3GNA,300.0
81135RC64K7NE,300.0
8114R324LG,300.0
8114R353X8,300.0
8114R374BBSPN,300.0
8114R403DDNE,300.0
8114R403DTMX,300.0
8114R403DTNE,300.0
8114R404DDNE,300.0
8114R404J9,300.0
8114R534LCNE,300.0
8114R534LCREC,300.0
8114R703NR,300.0
8114R7533CNE,300.0
8114R7535GSNE,300.0
8114R753GSNE,300.0
8114R75453DNE,300.0
8114R754GSBRN,300.0
8114R754GSNE,300.0
8114R7753DDNE,300.0
8114R7754DDBRN,300.0
8114R7754DDJM,300.0
8114R7754GSJM,300.0
8114R7754TLBRN,300.0
8114R7754TLGQ,300.0
8114R7754TLJM,300.0
8114R803GSNE,300.0
81155R7535GSNE,300.0
81155R7543CNE,300.0
81155R754GS,300.0
81155R754GSBRN,300.0
81155R754GSFV,300.0
81155R754GSJM,300.0
81155R754GSNE,300.0
81155R754GSSR,300.0
8315RC64K7NE,300.0
8115R324LA,300.0
8115R333T3AGG,300.0
8115R374BBSPN,300.0
8115R40353XNE,300.0
8115R4045DDNE,300.0
8115R404DDNE,300.0
8115R4545JJSPA,300.0
8115R4545JJSPN,300.0
8115R534LCNE,300.0
8115R6245NJNE,300.0
8115R625NJAGG,300.0
8115R6835FCNE,300.0
8115R6845FCNE,300.0
8115R684F5NE,300.0
8115R684FCBRN,300.0
8115R684FCGQ,300.0
8115R684FCNE,300.0
8115R684FCREC,300.0
8115R734UUSPN,300.0
8115R7533CNE,300.0
8115R75353CNE,300.0
8115R7535GSNE,300.0
8115R753GSNE,300.0
8115R75453CNE,300.0
8115R75453DNE,300.0
8115R7545GSNE,300.0
8115R7545NJNE,300.0
8115R754GSBRN,300.0
8115R754GSJM,300.0
8115R754GSNE,300.0
8115R754GSREC,300.0
8115R754GSSR,300.0
8115R77535DDNE,300.0
8115R7754DDBRN,300.0
8115R7754DDJM,300.0
8115R80353CNE,300.0
8115R8035GSNE,300.0
8115R8043CNE,300.0
8115R8045GSNE,300.0
8115R804GSBRN,300.0
8115R804GSGQ,300.0
8115R804GSNE,300.0
8115RB935J9NLB,300.0
8115RB935JOSPN,300.0
8115RB935YONE,300.0
8115RB93J9AGG,300.0
8115RC633R,300.0
8115RC643R,300.0
8116R405X2HA,300.0
8116R534LCNE,300.0
8116R6045NPAGG,300.0
8116R605NPSTA,300.0
8116R6245NJAGG,300.0
8116R6245NJGQ,300.0
8116R6245NJNE,300.0
8116R6245NJNLB,300.0
8116R6245NJREC,300.0
8116R624NJBRN,300.0
8116R624NJNE,300.0
8116R624NJNLB,300.0
8116R625NJBRN,300.0
8116R625NJNE,300.0
8116R625NJNLB,300.0
8116R625NJREC,300.0
8116R625NJSTA,300.0
8116R684FCNE,300.0
8116R7545GSNE,300.0
8116R7545XINE,300.0
8116R754GS,300.0
8116R754GSBRN,300.0
8116R754GSBRNC,300.0
8116R754GSGQ,300.0
8116R754GSJM,300.0
8116R754GSNE,300.0
8116R754GSREC,300.0
8116R754GSSR,300.0
8116R754XEBRN,300.0
8116R755GSNE,300.0
8116R755XEREC,300.0
8116R8045GSNE,300.0
8116R804GSBRN,300.0
8116R804GSGQ,300.0
8116R804GSJC,300.0
8116R804GSNE,300.0
8117MR5245NCSPA,300.0
8117R374BBFQ,300.0
8117R374BBNE,300.0
8117R374BBSPN,300.0
8117R7545GSNE,300.0
8117R754GSBRN,300.0
8117R754GSJM,300.0
8117R754GSNE,300.0
8118R765ORSA,300.0
8118R775ORNLB,300.0
8118R775ORSA,300.0
8120MR925WMSPN,270.0
82135R754GSNE,300.0
8214R754GSNE,300.0
82155R754GSBRN,300.0
82155R754GSGQ,300.0
82155R754GSKH,300.0
82155R754GSMR,300.0
82155R754GSNE,300.0
8215R6835FCNE,300.0
8215R684FCNE,300.0
8215R7535GSNE,300.0
8215R7543CBRN,300.0
8215R7543CFV,300.0
8215R7543CNE,300.0
8215R754GSGQ,300.0
8215R754GSKH,300.0
8215R754GSNE,300.0
8215R754GSFV,300.0
8215R8035GSNE,300.0
8215R804GSNE,300.0
8216R754GSKH,300.0
8216R754GSMR,300.0
8216R754GSNE,300.0
8218R12345G1NE,300.0
9120R8045G3NE,180.0
8220R754GSNE,270.0
83155R7543CNE,300.0
8315R694FHNE,300.0
8315R7535GSNE,300.0
8315R7543CBRN,300.0
8315R7545GSFV,300.0
8315R75453CFV,300.0
8315R75453CNE,300.0
8315R75453DNE,300.0
8315R7545GSNE,300.0
8315R754GS,300.0
8315R754GSNE,300.0
8315R8045G3NE,300.0
8315R804GSNE,300.0
8316R544HJNE,300.0
8316R6245NJAGG,300.0
8316R6245NJGQ,300.0
8316R6245NJNE,300.0
8316R6245NJNLB,300.0
8316R6245NJREC,300.0
8316R624NJBRN,300.0
8316R624NJNE,300.0
8316R624NJNLB,300.0
8316R625NJBRN,300.0
8316R625NJNE,300.0
8316R625NJNLB,300.0
8316R625NJREC,300.0
8316R625NJSTA,300.0
8316R7545GSFV,300.0
8316R7545GSSR,300.0
8316R754GSBRN,300.0
8316R754GSNE,300.0
2516R8045G3NE,200.0
2816R8045G3NE,200.0
8316R8045GSNE,300.0
8316R804G3NE,300.0
8316R804GPMX,300.0
8317R694FHIM,300.0
8317R80454SFV,300.0
8317R8045G3BRN,300.0
8317R8045G3GQ,300.0
8317R8045G3NE,300.0
8317R8045G3SR,300.0
8317R8045GPNE,300.0
8317R804G3NE,300.0
8317R804G8NE,300.0
8317R804GSNE,300.0
8317R805G3BRN,300.0
8317R805G3JM,300.0
8317R805G3NE,300.0
8317R805GSFH,300.0
8317R805GSNE,300.0
8318R12345G1BRN,300.0
8318R12345G1GQ,300.0
8318R12345G1NE,300.0
8318R12345G1STE,300.0
8318R1234G1NE,300.0
8318R1234G3NE,300.0
8318R1235G1NE,300.0
8318R6945FHNE,300.0
8318R7545G3NE,300.0
8318R7545G3NLB,300.0
8318R754G3NE,300.0
8318R755G3GQ,300.0
8318R755G3NE,300.0
8318R755G3NLB,300.0
8318R755G3STA,300.0
8318R8045G3PI,300.0
8318R8045G3BRN,300.0
8318R8045G3GQ,300.0
8318R8045G3NE,300.0
8318R8045G8NE,300.0
8318R804G3BRN,300.0
8318R804G3NE,300.0
8318R805G3BRN,300.0
8318R805G3FV,300.0
8318R805G3GQ,300.0
8318R805G3JM,300.0
8318R805G3NE,300.0
8318R805G3REC,300.0
8318R805G3SR,300.0
8318R805GPBRN,300.0
8318R8645GHIM,300.0
8318R906ROSPA,300.0
8320R12345G1GQ,270.0
8320R12345G1NE,270.0
9120R60545D6NE,180.0
8320R12345G1STE,270.0
8320R1235G1BRN,270.0
8320R1235G1NE,270.0
8320R7545G3BRN,270.0
8320R7545G3NE,270.0
8320R7545G3NLB,270.0
8320R754G3NE,270.0
8320R755G3BRN,270.0
8320R755G3GQ,270.0
8320R755G3NE,270.0
8320R755G3NLB,270.0
8320R755G3STA,270.0
8320R8045G3BRN,270.0
8320R8045G3GQ,270.0
8320R8045G3NE,270.0
8320R805G3BRN,270.0
8320R805G3FV,270.0
8320R805G3NE,270.0
8320R805G3REC,270.0
8320R805G3SR,270.0
8320R805GPBRN,270.0
8320R8065G3JM,270.0
8320R8065G3NE,270.0
8320R806G3BRN,270.0
8320R806G3HA,270.0
8320R806G3NE,270.0
8322R1055TEBRN,270.0
8322R755G3BRN,270.0
8322R755G3GQ,270.0
8322R755G3NE,270.0
8322R805G3JC,270.0
8322R755G3REC,270.0
8322R805G3BRN,270.0
9522R1045IONE,170.0
8322R805G3GQ,270.0
8322R805G3NE,270.0
83255R1016RDSPN,270.0
8416R8045G3NE,300.0
8417R8045G3KH,300.0
8417R8045G3NE,300.0
8417R804GPNE,300.0
8417R865GHIM,300.0
8418R12345G1NE,300.0
8418R1235G1NE,300.0
8418R7545G3AGG,300.0
8418R755G3REC,300.0
8418R8045G3KH,300.0
8418R8045G3NE,300.0
8418R805G3NE,300.0
8418R805G3SR,300.0
8418R8645GHIM,300.0
8418R865GHIM,300.0
8420R12345G1NE,270.0
8420R1235G1NE,270.0
8420R7545G3AGG,270.0
8420R755G3REC,270.0
8420R8045G3KH,270.0
8420R8045G3NE,270.0
8420R8045G3STE,270.0
8420R805G3NE,270.0
8420R8645GHNE,270.0
8420R865GHIM,270.0
8422R805G3NE,270.0
9016R544HJNE,200.0
9020RG6452YFS,180.0
9020RG6452YFS,180.0
9118R755G3NE,190.0
9118R755G3REC,190.0
9118R8045G3NE,190.0
9118R805G3NE,190.0
9120R755G3BRN,180.0
9120R755G3NE,180.0
9120R755G3REC,180.0
9120R8045G3BRN,180.0
9120R805G3BRN,180.0
9120R805G3NE,180.0
9122R755G3BRN,170.0
9122R755G3NE,170.0
9122R805G3NE,170.0
9122R805G3REC,170.0
9516R5445HJAGG,200.0
8116R295KYNLB,300.0
9516R805G3NE,200.0
9517R10152FSPA,200.0
9517R8045G3BRN,200.0
9517R8045G3NE,200.0
9518R8045G3BRN,190.0
9518R8045G3NE,190.0
9518R805G3BRN,190.0
9518R805G3NE,190.0
9520R12345G1BRN,180.0
9520R12345G1NE,180.0
9520R7545G3BRN,180.0
9520R755G3BRN,180.0
9520R755G3NE,180.0
9520R755G3REC,180.0
9520R8045G3BRN,180.0
9520R8045G3NE,180.0
9520R805G3BRN,180.0
9520R805G3NE,180.0
9520R805G3REC,180.0
9522R755G3BRN,170.0
9522R805G3BRN,170.0
9522R805G3NE,170.0
9918R805G3NE,180.0
9918R755G3NE,190.0
9918R755G3REC,190.0
9920R755G3BRN,180.0
9920R755G3GQ,180.0
9920R755G3NE,180.0
9920R755G3REC,180.0
9920R805G3BRN,180.0
9920R805G3NE,180.0
9920R805G3REC,180.0
9920R806G3HA,170.0
CQ54001,300.0
CQ54005,300.0
KK14179,300.0
KK14207,270.0
KK29306,300.0
KK49608,300.0
MUESTRASJUMIL1,300.0
MUESTRASJUMIL2,300.0
MUESTRASJUMIL3,300.0
RD14MR1123YHNE,200.0
RD14MR1123YHREC,200.0
RD14MR713YKNE,200.0
8116R535XEREC,300.0
9020RGU452YFS,180.0
2316R1014I9,200.0
2316R544HJ,200.0
9016R1014I9,200.0
28135R753UZ,200.0
2816R703QR,200.0
8115RCX35JWOBNE,300.0
2817RG652Y,200.0
9517RG652Y,200.0
9015R1014I9,200.0
9017R1014I9,200.0
9517RHG4I9,200.0
9817R1014I9,200.0
2571-153,200.0
2571-173,200.0
2571-166,200.0
431542A1,200.0
2571-199,270.0
2571-181,200.0
2571-279,270.0
2571-282,270.0
422BB9845REC,160.0
422MBB9845BMNE,160.0
422MBB9845BMREC,160.0
422MRCX45BMREC,160.0
422RCX45REC,160.0
422MRCX45BMREC,160.0
422MRCX45GMREC,160.0
628MRC675BMREC,120.0
628MRDE75BMREC,120.0
628MRC675GMREC,120.0
628MRDE75BMREC,120.0
628MRDE75BMREC,120.0
628MRDE75GMREC,120.0
628MRDE6GMREC,120.0
626MRC66BMREC,120.0
90471650,180.0
626MRC66BMNE,120.0
628MRC675BMNE,120.0
628MRDE75BMNE,120.0
411456RFNE,200.0
9918R8045G3NE,190.0
8322R1235G1NE,270.0
9918R1235G1NE,190.0
9920R806G3NE,170.0
9920R1236G1NE,170.0
8320R805G3JC,270.0
2815R1025I9,200.0
2816REU5,200.0
2816RG652Y,200.0
8116R655NP,300.0
2816R545Y7,200.0
8116R364K3,300.0
9516R1014I9,200.0
9716R1014I9,200.0
9916R544HJAGG,200.0
9716R5445HJ,200.0
2820RDE5,180.0
2820RG652Y,180.0
8420R805G3,270.0
2818RG652Y,190.0
8113R394K4,300.0
81135R4033N,300.0
8314R754GS,300.0
8114R393LG,300.0
8118R926QF,300.0
9718R1014I9,190.0
8324R1016RHSPA,270.0
628MRC66BMGI,120.0
628MRDE6BMGI,120.0
1628MRC66PRPI,120.0
1626MRC66PRPI,120.0
1626MRDE6PRPI,120.0
422RCX4NE,160.0
1422BB984PI,160.0
422BB984NE,160.0
1422MBB984PRPI,160.0
1624MRC66PRPI,160.0
624MRC66BMNE,160.0
2571-208,300.0
418MBB9835BMNE,160.0
420MBB9835BMNE,160.0
420BB9835NE,160.0
422MRCX45BMNE,160.0
422MRCX45BMGI,160.0
422BB9845GI,160.0
422MBB9845BMGI,160.0
422RCX45GI,160.0
422MBB984BMNE,160.0
422MRCX4BMNE,160.0
422MRCH45BMNE,160.0
422MRCH4BMNE,160.0
420MBB9845BMGI,160.0
420RCH45NE,160.0
420MRCH45BMNE,160.0
420BB9845GI,160.0
8113R413J7JM,300.0
RD14MR713YKJM,200.0
1420MRCH45PRPI,160.0
1420MRCX45PRPI,160.0
1420RCX45PI,160.0
1420RCH45PI,160.0
1422RB14PI,160.0
422RCH4STA,160.0
1422MRB14PRPI,160.0
1422RCX45PI,160.0
1422MRCH45PRPI,160.0
1422MRCX45PRPI,160.0
1422RCH45PI,160.0
422MBB9845GMREC,160.0
1420BB9835PI,160.0
1420MBB9835PRPI,160.0
1420MRB135PRPI,160.0
1420RB135PI,160.0
1418BB9835PI,160.0
1418MBB9835PRPI,160.0
1418MRB135PRPI,160.0
418MRCH35STA,160.0
1418RB135PI,160.0
418BB9835NE,160.0
418RCH35NE,160.0
1420MBB984PRPI,160.0
420MRCH4STA,160.0
1420BB984PI,160.0
628MRC66GMREC,120.0
628MRC66BMNE,120.0
628MRDE6BMNE,120.0
1628MRDE6PRPI,120.0
1628MRDE75PRPI,120.0
1628MRC675PRPI,120.0
1626MRDE6PRPI,120.0
2571-169,300.0
420MRCH35BMNE,160.0
8320R756G3NE,270.0
8322R805G3REC,270.0
8317R7545GSNE,300.0
418MBB9835BMBRN,160.0
422BB9845BRN,160.0
422MBB9845BMBRN,160.0
424MRC66BMBRN,160.0
626MRC66BMBRN,120.0
626MRDE6BMBRN,120.0
628MRC66BMBRN,120.0
628MRC675GMBRN,120.0
628MRDE6BMBRN,120.0
628R306AXBRN,120.0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
